연월,병상수,재원일수,입원환자수,외래환자수
2022-01,300,7905,410,3100
2022-02,300,6720,385,2850
2022-03,300,8184,438,3280
2022-04,300,7740,420,3150
2022-05,300,8277,445,3320
2022-06,300,7470,405,3050
2022-07,300,7812,415,3120
2022-08,300,8091,430,3200
2022-09,300,7650,412,3080
2022-10,300,8463,448,3350
2022-11,300,7920,422,3160
2022-12,300,8556,455,3400
2023-01,300,8091,425,3180
2023-02,300,6888,392,2920
2023-03,300,8463,445,3320
2023-04,300,7920,425,3170
2023-05,300,8556,452,3380
2023-06,300,7740,415,3110
2023-07,300,8091,428,3200
2023-08,300,8370,442,3300
2023-09,300,7830,418,3130
2023-10,300,8649,458,3420
2023-11,300,8100,430,3220
2023-12,300,8742,465,3480
2024-01,310,8553,438,3280
2024-02,310,7552,405,3020
2024-03,310,8937,462,3450
2024-04,310,8370,440,3300
2024-05,310,9033,468,3510
2024-06,310,8184,428,3210
2024-07,310,8553,442,3310
2024-08,310,8841,458,3420
2024-09,310,8277,435,3260
2024-10,310,9130,472,3530
2024-11,310,8556,448,3360
2024-12,310,9226,480,3600
